level,rule,order_count,revenue
2,Total_Garment_bucket=bucket_1 and amount_bd_bin=bucket_4,52.0,41238.0
2,Total_Garment_bucket=bucket_1 and amount_bd_bin=bucket_3,92.0,49031.0
2,Total_Garment_bucket=bucket_1 and amount_bd_bin=bucket_5,7.0,8500.0
2,Total_Garment_bucket=bucket_1 and amount_bd_bin=bucket_1,478.0,66548.0
2,Total_Garment_bucket=bucket_1 and Store_Name=AECS,27.0,10145.0
2,Total_Garment_bucket=bucket_1 and Does_pickup_charge_exist=Y,310.0,106922.0
2,Total_Garment_bucket=bucket_1 and Store_Name=BANASWADI,72.0,16650.0
2,Total_Garment_bucket=bucket_1 and Store_Name=DOMLUR,506.0,144193.0
2,Total_Garment_bucket=bucket_1 and Store_Name=HSR,145.0,39904.0
2,Total_Garment_bucket=bucket_1 and Store_Name=SARJAPUR,73.0,23034.0
2,Total_Garment_bucket=bucket_2 and Does_delivery_charge_exist=N,292.0,113332.0
2,Total_Garment_bucket=bucket_2 and Payment_Mode=Online,708.0,252407.0
2,Total_Garment_bucket=bucket_2 and Does_delivery_charge_exist=Y,472.0,158929.0
2,Total_Garment_bucket=bucket_2 and Payment_Mode=Cash_to_store,45.0,17171.0
2,Total_Garment_bucket=bucket_2 and amount_bd_bin=bucket_2,66.0,19937.0
2,Total_Garment_bucket=bucket_2 and Does_pickup_charge_exist=N,293.0,114239.0
2,Total_Garment_bucket=bucket_2 and amount_bd_bin=bucket_4,90.0,76834.0
2,Total_Garment_bucket=bucket_2 and amount_bd_bin=bucket_3,66.0,33943.0
2,Total_Garment_bucket=bucket_2 and amount_bd_bin=bucket_5,51.0,76219.0
2,Total_Garment_bucket=bucket_2 and amount_bd_bin=bucket_1,491.0,65328.0
2,Total_Garment_bucket=bucket_2 and Store_Name=AECS,11.0,4706.0
2,Total_Garment_bucket=bucket_2 and Does_pickup_charge_exist=Y,471.0,158022.0
2,Total_Garment_bucket=bucket_2 and Store_Name=BANASWADI,43.0,13169.0
2,Total_Garment_bucket=bucket_2 and Store_Name=DOMLUR,514.0,186976.0
2,Total_Garment_bucket=bucket_2 and Store_Name=HSR,137.0,50014.0
2,Total_Garment_bucket=bucket_2 and Store_Name=SARJAPUR,59.0,17396.0
2,Total_Garment_bucket=bucket_3 and Does_delivery_charge_exist=N,180.0,77463.0
2,Total_Garment_bucket=bucket_3 and Payment_Mode=Online,828.0,270358.0
2,Total_Garment_bucket=bucket_3 and Does_delivery_charge_exist=Y,697.0,220974.0
2,Total_Garment_bucket=bucket_3 and Payment_Mode=Cash_to_store,36.0,23705.0
2,Total_Garment_bucket=bucket_3 and amount_bd_bin=bucket_2,199.0,63463.0
2,Total_Garment_bucket=bucket_3 and Does_pickup_charge_exist=N,181.0,77694.0
2,Total_Garment_bucket=bucket_3 and amount_bd_bin=bucket_4,18.0,17618.0
2,Total_Garment_bucket=bucket_3 and amount_bd_bin=bucket_3,67.0,32597.0
2,Total_Garment_bucket=bucket_3 and amount_bd_bin=bucket_5,52.0,98353.0
